Date,Transaction Description,Category,Amount,Type
2020-01-24,Tools bus bonus savings direct.,Salary,862.17,Income
2020-01-25,Client express train special payment fee.,Shopping,991.64,Expense
2020-01-25,Weekly water mall weekly contract hotel electricity.,Shopping,971.87,Expense
2020-01-25,Have decide environment.,Rent,766.06,Expense
2020-01-25,Loan booking contract platform.,Travel,1349.53,Expense
2020-01-25,Play move each left establish.,Health & Fitness,1211.41,Expense
2020-01-25,Mortgage automatic.,Shopping,1070.24,Expense
2020-01-25,Booking adjustment.,Food & Drink,510.51,Expense
2020-01-25,Economy bill mortgage priority.,Other,2515.43,Income
2020-01-25,Bill hotel transfer salary.,Shopping,1053.98,Expense
2020-01-25,Hospital water express.,Travel,1474.1,Expense
2020-01-26,Fuel bus vendor business.,Food & Drink,485.5,Expense
2020-01-26,Mall material grocery.,Rent,124.61,Expense
2020-01-26,Hardware investment bonus bonus mortgage.,Health & Fitness,1003.72,Expense
2020-01-26,Range successful simply.,Salary,1077.09,Income
2020-01-26,Clinic invoice maintenance.,Food & Drink,1146.14,Expense
2020-01-27,Service transfer.,Health & Fitness,1125.08,Expense
2020-01-27,Priority entertainment financial special savings.,Travel,1186.08,Expense
2020-01-27,Health digital daily app fee.,Salary,827.17,Income
2020-01-27,Fuel bus reward transfer pharmacy food service.,Rent,742.0,Expense
2020-01-28,Material bill loan.,Utilities,1183.42,Expense
2020-01-28,App parking hotel.,Health & Fitness,750.11,Expense
2020-01-28,Equipment pharmacy store daily.,Entertainment,1438.53,Expense
2020-01-28,Account deal personal.,Utilities,878.94,Expense
2020-01-28,Taxi tax hotel special.,Other,4841.51,Income
2020-01-28,Digital clinic reward clinic taxi.,Health & Fitness,1042.61,Expense
2020-01-29,Express loan payment service.,Entertainment,1062.64,Expense
2020-01-29,Health freelance savings plan.,Food & Drink,520.59,Expense
2020-01-29,Client premium tax pending insurance.,Shopping,729.87,Expense
2020-01-29,Client water.,Utilities,983.54,Expense
2020-01-29,Tax insurance.,Travel,1981.71,Expense
2020-01-29,Source husband.,Shopping,166.81,Expense
2020-01-29,Service maintenance market flight electricity.,Food & Drink,1594.17,Expense
2020-01-30,Service travel processed equipment support.,Investment,3556.46,Income
2020-01-30,Tree note responsibility.,Health & Fitness,1158.93,Expense
2020-01-30,Charge bill delivery hardware.,Other,3072.01,Income
2020-01-30,Invoice plan network loan bill.,Food & Drink,740.53,Expense
2020-01-31,Management sense technology check civil.,Shopping,563.17,Expense
2020-01-31,How trip learn enter.,Food & Drink,1325.91,Expense
2020-01-31,Much section investment on gun.,Rent,1712.08,Expense
2020-01-31,Economy premium mortgage adjustment material grocery.,Food & Drink,1539.37,Expense
2020-02-01,Deal management.,Food & Drink,1638.0,Expense
2020-02-01,Express hospital credit management.,Investment,1915.45,Income
2020-02-01,Subscription adjustment payment shop parking mall.,Health & Fitness,387.68,Expense
2020-02-01,Flight digital.,Investment,1370.94,Income
2020-02-01,Budget salary deal train gross parking.,Utilities,418.93,Expense
2020-02-01,Flight personal package bonus management reward hardware.,Shopping,811.5,Expense
2020-02-02,As high you more wife.,Health & Fitness,333.68,Expense
2020-02-02,Financial transfer.,Salary,735.88,Income
2020-02-02,Equipment savings savings fuel booking annual software.,Salary,727.34,Income
2020-02-02,Invoice deal.,Salary,1428.52,Income
2020-02-02,Tax tax client invoice express hardware shop.,Food & Drink,637.35,Expense
2020-02-03,Reward reward.,Shopping,1591.75,Expense
2020-02-03,Maintenance parking investment platform utility.,Utilities,1391.9,Expense
2020-02-03,Service priority regular travel.,Travel,1554.84,Expense
2020-02-03,Shop deal deal food.,Rent,847.92,Expense
2020-02-03,Water store health premium.,Entertainment,1251.67,Expense
2020-02-03,Equipment salary net credit bus fee subscription.,Rent,872.36,Expense
2020-02-03,Utility equipment direct economy direct management.,Other,2203.29,Income
2020-02-03,Savings plan hardware client order pharmacy grocery.,Salary,1158.28,Income
2020-02-03,Package invoice.,Investment,3467.35,Income
2020-02-03,Hardware payment household platform purchase.,Shopping,1648.87,Expense
2020-02-04,Utility discount mortgage.,Entertainment,1467.98,Expense
2020-02-04,Race mr.,Travel,1406.62,Expense
2020-02-04,Premium hardware monthly savings utility.,Salary,1601.48,Income
2020-02-04,Credit management.,Salary,1142.38,Income
2020-02-04,Pharmacy daily savings contract direct parking.,Rent,813.22,Expense
2020-02-05,Food household savings financial.,Food & Drink,1561.74,Expense
2020-02-05,Delivery tools insurance electricity regular.,Travel,1709.57,Expense
2020-02-05,Seven medical blood personal.,Investment,1838.0,Income
2020-02-05,Bus grocery investment system taxi maintenance.,Travel,505.21,Expense
2020-02-05,Household financial.,Food & Drink,716.46,Expense
2020-02-05,Deal app flight travel total investment deposit.,Food & Drink,1090.92,Expense
2020-02-05,Born itself law west.,Rent,1222.17,Expense
2020-02-05,Network subscription.,Shopping,1203.99,Expense
2020-02-05,Transfer daily subscription digital purchase annual.,Investment,2569.43,Income
2020-02-05,Order tools net.,Food & Drink,1350.27,Expense
2020-02-06,Health phone tax client fee processed.,Salary,1062.04,Income
2020-02-06,Online utility hospital mortgage maintenance net.,Travel,177.45,Expense
2020-02-06,Material management project.,Health & Fitness,419.49,Expense
2020-02-06,Flight plan.,Entertainment,560.66,Expense
2020-02-07,Fee loan entertainment.,Entertainment,731.56,Expense
2020-02-07,Food affect upon these story.,Entertainment,1372.38,Expense
2020-02-07,Current hear claim well two.,Travel,1979.15,Expense
2020-02-07,Client management transfer monthly pending.,Salary,511.81,Income
2020-02-07,Online hospital support water vendor invoice flight.,Entertainment,1416.74,Expense
2020-02-07,Software grocery fuel net train.,Food & Drink,1724.21,Expense
2020-02-07,Water food regular order app financial net.,Salary,628.78,Income
2020-02-07,Phone insurance phone client.,Investment,1639.65,Income
2020-02-07,Tax reward utility daily.,Utilities,689.83,Expense
2020-02-08,Parking management.,Other,2855.53,Income
2020-02-08,Express gym delivery store subscription.,Entertainment,1827.19,Expense
2020-02-08,Around there water.,Food & Drink,465.81,Expense
2020-02-08,Staff within mouth call.,Other,3786.0,Income
2020-02-08,Pending deposit advance internet net.,Shopping,996.68,Expense
2020-02-08,Entertainment material parking booking train online.,Investment,2709.33,Income
2020-02-08,Network business app.,Utilities,619.97,Expense
2020-02-09,Close month parent who up.,Entertainment,1827.14,Expense
2020-02-09,Direct internet system maintenance freelance transfer.,Salary,164.55,Income
2020-02-09,Project renewal material digital travel hotel.,Rent,1136.4,Expense
2020-02-09,Payment business account clinic network water transfer.,Investment,2632.79,Income
2020-02-09,Debit phone client reward contract.,Salary,876.97,Income
2020-02-09,Renewal electricity flight platform subscription booking material.,Other,1320.73,Income
2020-02-09,Reward deal account investment tax.,Food & Drink,1794.46,Expense
2020-02-10,App store entertainment shop network.,Utilities,454.29,Expense
2020-02-10,Standard direct loan freelance.,Shopping,235.14,Expense
2020-02-10,Express premium subscription express.,Travel,987.87,Expense
2020-02-10,Freelance loan personal water insurance.,Entertainment,955.5,Expense
2020-02-10,Personal grocery.,Travel,926.89,Expense
2020-02-10,Market processed software direct fee.,Travel,1621.07,Expense
2020-02-10,Train deposit daily account loan.,Entertainment,624.55,Expense
2020-02-10,Booking gross financial economy bus service app.,Investment,1242.1,Income
2020-02-11,Debit renewal system contract premium maintenance.,Travel,1339.89,Expense
2020-02-11,Parking store grocery.,Health & Fitness,1084.1,Expense
2020-02-11,Human public health.,Health & Fitness,433.13,Expense
2020-02-11,Clinic renewal network.,Entertainment,843.08,Expense
2020-02-11,Priority salary.,Investment,4087.05,Income
2020-02-11,Contract financial.,Entertainment,856.69,Expense
2020-02-12,Material bill fee personal.,Other,3200.49,Income
2020-02-12,Monthly discount parking support.,Travel,576.28,Expense
2020-02-12,Booking hospital booking project taxi hospital.,Shopping,958.39,Expense
2020-02-12,App renewal vendor equipment system taxi.,Travel,797.36,Expense
2020-02-12,Gym financial app management.,Health & Fitness,492.13,Expense
2020-02-12,Maintenance purchase project hospital advance project water.,Utilities,898.02,Expense
2020-02-13,Building different full open.,Salary,294.31,Income
2020-02-13,Entertainment deal service.,Food & Drink,397.69,Expense
2020-02-13,Processed hotel booking credit regular.,Investment,1919.96,Income
2020-02-13,Advance deal train total.,Health & Fitness,819.68,Expense
2020-02-13,Software management restaurant market.,Travel,939.05,Expense
2020-02-13,Savings software platform personal equipment.,Other,3728.88,Income
2020-02-13,Vendor equipment salary freelance adjustment.,Entertainment,624.99,Expense
2020-02-14,Entertainment credit.,Investment,2529.62,Income
2020-02-14,Delivery salary.,Health & Fitness,351.79,Expense
2020-02-14,Personal bonus.,Other,3563.65,Income
2020-02-14,Health bus shop special salary.,Other,2900.27,Income
2020-02-14,Online platform.,Entertainment,1055.85,Expense
2020-02-14,Gym hospital hotel hospital insurance client project.,Entertainment,1545.84,Expense
2020-02-14,Regular loan.,Other,2607.23,Income
2020-02-15,Material management software transfer shop automatic plan.,Entertainment,1495.03,Expense
2020-02-15,Standard adjustment maintenance.,Utilities,1383.42,Expense
2020-02-15,Detail audience piece director town.,Other,4009.0,Income
2020-02-16,System direct network hotel.,Investment,2400.51,Income
2020-02-16,Economy annual equipment credit package.,Travel,1738.64,Expense
2020-02-16,Business plan.,Utilities,1446.66,Expense
2020-02-16,Hardware regular restaurant shop.,Utilities,174.97,Expense
2020-02-16,Much rich think.,Utilities,1023.96,Expense
2020-02-16,Automatic business vendor.,Entertainment,644.72,Expense
2020-02-16,Method everything.,Shopping,730.37,Expense
2020-02-16,Flight client.,Other,896.62,Income
2020-02-16,Invoice system water support.,Rent,360.71,Expense
2020-02-16,Net plan material gross hospital.,Entertainment,1369.33,Expense
2020-02-16,Deal system special total online.,Entertainment,1665.25,Expense
2020-02-17,Delivery direct subscription platform plan.,Health & Fitness,1082.69,Expense
2020-02-17,Project project automatic material business annual.,Shopping,1014.83,Expense
2020-02-17,Economy package debit savings bonus mall.,Health & Fitness,1328.07,Expense
2020-02-17,Renewal hotel gym.,Food & Drink,1226.64,Expense
2020-02-17,App shop daily net online maintenance.,Rent,1905.14,Expense
2020-02-17,Credit tax account store.,Salary,1287.9,Income
2020-02-17,Network store network financial service train system.,Investment,2917.39,Income
2020-02-17,Budget invoice platform utility savings.,Entertainment,578.47,Expense
2020-02-17,Financial salary.,Salary,1644.06,Income
2020-02-17,Investment grocery processed.,Rent,66.41,Expense
2020-02-17,Service order salary financial food service hotel.,Investment,956.63,Income
2020-02-18,Fuel health.,Food & Drink,1438.72,Expense
2020-02-18,Water material digital priority.,Utilities,1219.57,Expense
2020-02-18,Regular entertainment balance charge deal contract personal.,Health & Fitness,899.24,Expense
2020-02-18,Vendor health restaurant investment interest processed restaurant.,Rent,1896.0,Expense
2020-02-18,Contract contract special.,Salary,1440.26,Income
2020-02-18,Drug list imagine behind.,Investment,1398.0,Income
2020-02-18,Entertainment train pharmacy.,Food & Drink,368.68,Expense
2020-02-18,Renewal pending service.,Entertainment,1607.78,Expense
2020-02-19,Software premium personal deal.,Salary,738.26,Income
2020-02-19,Interest level rock pull.,Investment,3958.0,Income
2020-02-19,Reward financial net taxi.,Entertainment,1493.53,Expense
2020-02-19,Deposit weekly online.,Travel,1905.99,Expense
2020-02-19,Train regular store household internet credit discount.,Rent,1079.67,Expense
2020-02-20,Credit standard mortgage health restaurant project bonus.,Shopping,1413.1,Expense
2020-02-20,Store premium restaurant bonus store.,Travel,681.19,Expense
2020-02-20,Mortgage invoice interest platform booking hardware.,Entertainment,910.07,Expense
2020-02-20,Payment automatic total equipment bill mortgage.,Health & Fitness,993.92,Expense
2020-02-20,I fund.,Shopping,769.42,Expense
2020-02-20,Tools app standard clinic.,Salary,1065.33,Income
2020-02-20,Hospital business standard loan bill interest salary.,Travel,1256.25,Expense
2020-02-21,Software vendor plan store hospital payment food.,Utilities,119.76,Expense
2020-02-21,Bill regular mortgage freelance credit.,Entertainment,1634.92,Expense
2020-02-21,Investment direct grocery train.,Health & Fitness,823.75,Expense
2020-02-21,Pharmacy platform purchase hotel adjustment system.,Rent,599.6,Expense
2020-02-21,Business charge.,Salary,778.86,Income
2020-02-21,Adjustment internet restaurant financial salary hardware.,Utilities,1352.07,Expense
2020-02-21,Investment utility digital automatic.,Salary,1008.31,Income
2020-02-21,Pending premium tools network household deposit train.,Salary,1315.52,Income
2020-02-21,Package monthly.,Food & Drink,1434.52,Expense
2020-02-21,Interest package direct tools.,Travel,587.2,Expense
2020-02-22,Personal network system personal online.,Food & Drink,658.77,Expense
2020-02-22,Budget discount advance food account equipment.,Shopping,738.84,Expense
2020-02-22,Bonus app support clinic.,Other,3601.82,Income
2020-02-22,Special bill charge total.,Salary,118.0,Income
2020-02-22,Equipment economy electricity app project.,Utilities,387.7,Expense
2020-02-22,Shop internet loan clinic debit weekly hardware.,Utilities,403.29,Expense
2020-02-22,Purchase fuel equipment credit.,Rent,967.81,Expense
2020-02-23,Weekly food taxi renewal.,Travel,572.68,Expense
2020-02-23,Parking app net market food.,Shopping,1382.39,Expense
2020-02-23,Weekly express premium taxi regular automatic.,Shopping,750.13,Expense
2020-02-23,Freelance pharmacy business freelance.,Entertainment,765.17,Expense
2020-02-23,Tax automatic maintenance management service financial.,Salary,439.1,Income
2020-02-23,Monthly total network.,Other,2702.7,Income
2020-02-23,Annual contract contract fee.,Utilities,813.64,Expense
2020-02-23,Insurance client booking payment hardware.,Salary,1578.89,Income
2020-02-24,Tax health hotel.,Travel,1164.0,Expense
2020-02-25,Digital tax taxi.,Entertainment,1505.95,Expense
2020-02-25,Hospital online.,Shopping,639.92,Expense
2020-02-25,Fuel hardware bus processed support health business.,Entertainment,1090.77,Expense
2020-02-25,Invoice regular investment fee balance gym.,Utilities,400.19,Expense
2020-02-25,Online food fuel restaurant personal.,Shopping,1102.02,Expense
2020-02-25,Contract management system tax clinic water express.,Utilities,1135.1,Expense
2020-02-26,System travel interest annual parking mortgage deposit.,Investment,2634.88,Income
2020-02-26,Total tools.,Travel,1460.88,Expense
2020-02-26,Budget special.,Health & Fitness,1150.1,Expense
2020-02-26,Household budget delivery.,Rent,965.26,Expense
2020-02-26,Water equipment.,Food & Drink,676.74,Expense
2020-02-26,Tax service discount maintenance maintenance.,Health & Fitness,1818.13,Expense
2020-02-26,Mortgage restaurant deposit automatic.,Food & Drink,1283.65,Expense
2020-02-26,Court movie cell.,Travel,1942.45,Expense
2020-02-26,Investment processed gross entertainment budget support.,Shopping,1461.42,Expense
2020-02-26,Hardware plan deposit clinic tools adjustment.,Food & Drink,154.96,Expense
2020-02-27,Express weekly.,Other,3038.98,Income
2020-02-27,Leg themselves away.,Food & Drink,1363.76,Expense
2020-02-27,Management debit market discount debit regular project.,Salary,1104.96,Income
2020-02-27,Account booking online network pharmacy.,Investment,3893.91,Income
2020-02-27,Maintenance discount contract contract weekly gross budget.,Other,4427.15,Income
2020-02-27,Total tax adjustment system pharmacy.,Health & Fitness,773.02,Expense
2020-02-28,Mall freelance mortgage.,Rent,812.58,Expense
2020-02-28,Anything yourself.,Other,3286.0,Income
2020-02-28,Purchase transfer.,Food & Drink,1473.01,Expense
2020-02-28,Software automatic adjustment.,Travel,808.37,Expense
2020-02-28,Personal direct financial project debit.,Travel,882.73,Expense
2020-02-28,Management investment.,Investment,959.55,Income
2020-02-28,Unit support.,Other,1795.0,Income
2020-02-29,Restaurant client regular management fee salary project.,Health & Fitness,1099.49,Expense
2020-02-29,Online tax weekly charge.,Health & Fitness,652.14,Expense
2020-02-29,Bonus pharmacy delivery.,Other,2711.35,Income
2020-02-29,Magazine degree husband around.,Travel,1944.06,Expense
2020-02-29,Debit platform interest weekly.,Shopping,1130.61,Expense
2020-02-29,Shop bonus shop restaurant financial special bonus.,Salary,55.74,Income
2020-03-01,Invoice order delivery deal electricity express gross.,Rent,1477.67,Expense
2020-03-01,Clinic weekly fee bill express.,Entertainment,169.4,Expense
2020-03-01,Software gym.,Utilities,1037.4,Expense
2020-03-01,Management market market insurance economy food digital.,Travel,734.43,Expense
2020-03-01,Interest maintenance hospital.,Salary,589.12,Income
2020-03-01,Plan discount.,Rent,375.51,Expense
2020-03-01,Network deposit salary phone express salary.,Travel,1918.77,Expense
2020-03-01,Total fuel hospital.,Shopping,558.32,Expense
2020-03-02,Total delivery subscription hardware.,Utilities,1220.37,Expense
2020-03-02,Mall parking platform.,Travel,465.41,Expense
2020-03-02,Net household vendor weekly bill bus.,Utilities,1037.59,Expense
2020-03-02,Tools tools grocery debit.,Rent,796.32,Expense
2020-03-02,Automatic software.,Entertainment,690.23,Expense
2020-03-02,Tools annual.,Rent,1580.63,Expense
2020-03-03,Personal gross charge shop travel fuel entertainment.,Shopping,806.47,Expense
2020-03-03,Clinic contract bonus standard subscription.,Salary,1827.06,Income
2020-03-03,Taxi material balance discount software mortgage premium.,Other,3736.12,Income
2020-03-03,Taxi platform freelance personal travel water food.,Travel,594.36,Expense
2020-03-03,Client flight loan.,Health & Fitness,769.75,Expense
2020-03-03,World enter.,Rent,1742.33,Expense
2020-03-03,Business invoice train processed train.,Salary,1763.98,Income
2020-03-04,Platform software hospital shop pending parking travel.,Investment,4639.71,Income
2020-03-04,Institution whatever yet.,Entertainment,314.15,Expense
2020-03-04,Choice father why often.,Food & Drink,1201.9,Expense
2020-03-04,Support advance travel.,Other,2328.27,Income
2020-03-05,Adjustment weekly entertainment flight online.,Shopping,762.06,Expense
2020-03-05,Bill advance system digital.,Rent,1188.18,Expense
2020-03-05,Tax software management client freelance digital.,Food & Drink,1236.4,Expense
2020-03-05,Discount regular app processed fuel tools utility.,Utilities,1167.15,Expense
2020-03-05,Tools network bill material clinic renewal.,Utilities,247.95,Expense
2020-03-05,Bill household salary market order app.,Other,1946.06,Income
2020-03-05,Equipment software.,Food & Drink,1487.79,Expense
2020-03-05,Gym total subscription.,Investment,3252.52,Income
2020-03-06,Gross store utility maintenance fuel mall.,Other,3028.88,Income
2020-03-06,Deal reward material.,Utilities,844.18,Expense
2020-03-06,Travel adjustment material deposit.,Travel,1755.83,Expense
2020-03-06,Economy hotel direct interest premium support reward.,Utilities,1636.66,Expense
2020-03-06,Electricity regular reward parking shop credit deal.,Salary,252.68,Income
2020-03-06,Direct project transfer transfer priority utility.,Other,1459.24,Income
2020-03-07,Subscription plan clinic utility.,Salary,863.7,Income
2020-03-07,Market delivery delivery loan discount hospital.,Food & Drink,516.94,Expense
2020-03-07,Economy gross app hardware household project.,Investment,1919.6,Income
2020-03-07,Booking account loan special adjustment train.,Investment,3091.78,Income
2020-03-07,Advance financial parking interest reward.,Entertainment,813.67,Expense
2020-03-07,System household app tools discount vendor investment.,Investment,757.92,Income
2020-03-08,Client digital flight parking.,Salary,1762.07,Income
2020-03-08,Purchase digital maintenance.,Entertainment,1509.09,Expense
2020-03-09,Household restaurant hotel.,Rent,628.27,Expense
2020-03-09,Freelance network system support contract.,Shopping,1277.71,Expense
2020-03-09,Contract network phone net train.,Food & Drink,941.93,Expense
2020-03-09,Gross pharmacy balance.,Shopping,905.58,Expense
2020-03-09,Security arm.,Rent,1858.91,Expense
2020-03-09,Clinic app system market transfer software travel.,Other,4157.69,Income
2020-03-09,Bus investment parking system entertainment train.,Travel,1000.63,Expense
2020-03-09,Pharmacy express online bill.,Other,2744.78,Income
2020-03-09,Me system church whether.,Travel,486.51,Expense
2020-03-09,Advance restaurant pharmacy support gross transfer.,Health & Fitness,1247.25,Expense
2020-03-10,Freelance credit shop purchase budget project network.,Food & Drink,1187.04,Expense
2020-03-10,Equipment premium clinic.,Travel,591.65,Expense
2020-03-10,Deal daily bonus transfer mall balance.,Rent,1822.08,Expense
2020-03-10,Train personal transfer service.,Food & Drink,350.53,Expense
2020-03-10,Discount system.,Rent,673.34,Expense
2020-03-11,Discount fee discount.,Other,2169.46,Income
2020-03-11,Shop discount charge.,Utilities,1338.98,Expense
2020-03-11,Walk now often.,Rent,1956.19,Expense
2020-03-11,Attention attack technology.,Rent,180.45,Expense
